name,tweet,created_at,retweets,likes
Donald J. Trump,"As to the U.N., things will be different after Jan. 20th.",2016-12-23 20:14:34,33324,97442
Elizabeth Warren,Tonight @SenateMajLdr silenced Mrs King's voice on the Sen floor - &amp; millions who are afraid &amp; appalled by what's happening in our country.,2017-02-08 01:31:27,33221,66676
John Lewis,"Even though I was arrested, I smiled bc I was on the right side of history. Find a way to get in the way #goodtrouble",2015-07-19 19:03:51,33202,66853
Rep. Ted Lieu,"To: @POTUS @realDonaldTrump Here's a cheat sheet for your 1st overseas visit. From: @RepTedLieu, Member of House Foreign Affairs Committee",2017-05-19 14:01:25,33185,74402
Donald J. Trump,Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,2016-12-16 11:09:19,32969,107880
Donald J. Trump,"Wow, President Obama's brother, Malik, just announced that he is voting for me. Was probably treated badly by president-like everybody else!",2016-07-24 11:56:43,32843,85654
Donald J. Trump,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,2016-11-11 13:33:35,32833,176288
Donald J. Trump,TO ALL AMERICANS- #HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we work together to #MAGA🇺🇸,2017-01-01 05:00:10,32820,126732
Donald J. Trump,"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget",2017-01-28 15:42:58,32766,170874
Donald J. Trump,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,2017-01-30 14:23:49,32760,164101
Donald J. Trump,"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",2017-02-07 02:49:28,32712,146496
Donald J. Trump,"Congratulations to our new Attorney General, @SenatorSessions!",2017-02-09 01:05:53,32695,163959
Donald J. Trump,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,2017-02-03 11:34:32,32690,149613
Bernie Sanders,"President Trump's Muslim ban is un-American, is unconstitutional and is going to make us less safe, not more safe.",2017-01-31 02:13:45,32552,73157
Donald J. Trump,"I am not trying to get ""top level security clearance"" for my children. This was a typically false news story.",2016-11-16 11:28:57,32472,99902
Bernie Sanders,"Sorry, Mr. Trump. The future of the planet is more important than the short-term profits of the oil, coal and gas industries.",2016-11-14 21:24:52,32465,61311
Donald J. Trump,"So terrible that Crooked didn't report she got the debate questions from Donna Brazile, if that were me it would have been front page news!",2016-11-01 14:14:09,32311,79824
Donald J. Trump,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",2017-01-05 18:14:30,32310,108330
Donald J. Trump,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,2017-01-25 02:16:19,32272,163482
Bernie Sanders,Steve Bannon sitting on the National Security Council is dangerous and unprecedented. He must be removed.,2017-01-30 16:16:53,32270,85890
Adam Schiff,"Today, Chairman Nunes shared information with WH still withheld from our committee. He cannot conduct a credible investigation this way.",2017-03-22 20:38:40,32190,47417
Donald J. Trump,"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",2017-02-15 13:13:10,32065,129058
Jim McGovern,This is Woodward and Bernstein. Nixon called them the enemy. They proved that no president is above the law. #NotTheEnemy,2017-02-18 13:05:03,32061,58347
Donald J. Trump,"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",2017-01-11 12:48:52,31890,108905
Elizabeth Warren,But does anyone seriously believe @realDonaldTrump fired the top person investigating his ties to Russia because he was unfair to Hillary?,2017-05-09 23:10:07,31871,76270
Adam Schiff,The American people demand – and deserve – the truth. Congress must create an independent commission to #FollowTheFacts on Russia.,2017-03-25 12:35:06,31675,61473
Donald J. Trump,The Green Party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated &amp; demoralized Dems,2016-11-27 00:31:32,31555,96883
Senator Jeff Merkley,These are tweets that the new Admin has already deleted. RT if you believe in science and oppose Trump's gag order on climate facts!,2017-01-25 01:10:37,31508,19967
Donald J. Trump,Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!,2016-12-28 14:07:13,31333,116533
Donald J. Trump,"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",2017-05-12 13:20:04,31331,126223
Donald J. Trump,"Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity."" So true!",2016-12-24 00:13:02,31255,111365
Donald J. Trump,Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,2017-01-31 11:21:52,31227,153285
Donald J. Trump,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",2017-01-30 12:16:30,31122,131549
Donald J. Trump,"The Democrats, when they incorrectly thought they were going to win, asked that the election night tabulation be accepted. Not so anymore!",2016-11-27 03:59:52,31069,99277
Donald J. Trump,"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",2017-04-13 00:32:25,31022,140660
Donald J. Trump,Thank you for the great rallies all across the country. Tremendous support. Make America Great Again!,2017-03-05 17:30:11,30956,173145
Donald J. Trump,"The so-called ""A"" list celebrities are all wanting tixs to the inauguration, but look what they did for Hillary, NOTHING. I want the PEOPLE!",2016-12-23 01:59:58,30956,118677
Donald J. Trump,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change, NOW!",2017-01-27 13:19:10,30783,161377
Donald J. Trump,"Serious voter fraud in Virginia, New Hampshire and California - so why isn't the media reporting on this? Serious bias - big problem!",2016-11-28 00:31:54,30766,100409
Adam Schiff,After much consideration I believe Chairman should recuse himself from involvement in investigation/oversight of Trump campaign &amp; transition,2017-03-27 22:44:43,30706,59419
Donald J. Trump,"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",2016-09-24 17:08:17,30706,61959
Bernie Sanders,We can't afford to build new pipelines that lock us into burning more fossil fuels. I will do everything I can to stop Keystone XL and DAPL.,2017-01-24 17:00:33,30689,97151
Donald J. Trump,"With all of the illegal acts that took place in the Clinton campaign &amp; Obama Administration, there was never a special counsel appointed!",2017-05-18 14:07:06,30622,107888
John Lewis,"Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and vote. Do your part.",2016-09-27 15:56:51,30575,42906
Donald J. Trump,'Immigration Ban Is One Of Trump's Most Popular Orders So Far',2017-02-08 19:39:51,30531,123406
Donald J. Trump,Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,2016-09-27 02:40:26,30462,57726
Donald J. Trump,"I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!",2016-11-24 15:11:58,30439,137576
Donald J. Trump,"This election is being rigged by the media pushing false and unsubstantiated charges, and outright lies, in order to elect Crooked Hillary!",2016-10-15 11:45:58,30369,78487
Donald J. Trump,All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,2017-05-23 15:58:37,30204,121158
Donald J. Trump,"The ""Unaffordable"" Care Act will soon be history!",2017-01-13 11:33:24,30173,130250
Bernie Sanders,"We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. Trump, you are dead wrong.",2016-11-13 18:43:02,30018,55381
Donald J. Trump,"Cryin' Chuck Schumer stated recently, ""I do not have confidence in him (James Comey) any longer."" Then acts so indignant. #draintheswamp",2017-05-10 02:42:52,30011,97438
Chris Murphy,"I am proud to announce that after 14+ hours on the floor, we will have a vote on closing the terror gap &amp; universal background checks",2016-06-16 05:53:03,29996,63909
Donald J. Trump,"Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee",2016-10-10 17:22:22,29932,80249
Donald J. Trump,Praying for the families of the two Iowa police who were ambushed this morning. An attack on those who keep us safe is an attack on us all.,2016-11-02 14:37:03,29905,86383
Donald J. Trump,#CrookedHillary,2016-07-28 23:13:55,29892,54213
Donald J. Trump,"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but.......",2016-12-28 14:19:46,29866,105517
Donald J. Trump,The Fake News Media works hard at disparaging &amp; demeaning my use of social media because they don't want America to hear the real story!,2017-05-29 00:20:11,29865,116250
Donald J. Trump,"History lesson: There’s a big difference between Hillary Clinton and Abraham Lincoln. For one, his nickname is Honest Abe. #RattledHillary",2016-10-10 02:00:31,29862,66473
Donald J. Trump,"Crooked Hillary Clinton now blames everybody but herself, refuses to say she was a terrible candidate. Hits Facebook &amp; even Dems &amp; DNC.",2017-06-01 00:40:01,29813,115425
Donald J. Trump,Looking at Air Force One @ MIA. Why is he campaigning instead of creating jobs &amp; fixing Obamacare? Get back to work for the American people!,2016-11-03 15:19:12,29660,73032
Donald J. Trump,"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",2017-01-15 19:00:21,29658,128342
Donald J. Trump,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!,2016-12-26 23:32:28,29609,126830
Donald J. Trump,"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",2017-02-04 21:44:49,29575,137631
Donald J. Trump,"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!",2017-02-12 11:34:45,29568,149213
Donald J. Trump,"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We.....",2017-01-07 15:02:20,29518,101514
Donald J. Trump,President Obama will go down as perhaps the worst president in the history of the United States!,2016-08-02 19:07:25,29406,78226
Donald J. Trump,FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,2017-01-11 01:19:23,29404,94568
Donald J. Trump,"Well, the New Year begins. We will, together, MAKE AMERICA GREAT AGAIN!",2017-01-02 14:40:10,29370,124554
Donald J. Trump,"As your President, I have no higher duty than to protect the lives of the American people.",2017-01-26 02:14:56,29337,153022
Donald J. Trump,"Hillary Clinton is taking the day off again, she needs the rest. Sleep well Hillary - see you at the debate!",2016-09-20 14:23:59,29312,72910
Donald J. Trump,Just cannot believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,2017-02-05 20:39:05,29238,138867
Maxine Waters,Susan Rice didn't ask the FBI for immunity from prosecution. Mike Flynn did. Obama's campaign was not under FBI investigation. Trump's is.,2017-04-04 20:20:40,29213,57603
Bernie Sanders,In Trump's view people should ignore all the news except what comes directly from him. That is what totalitarianism is all about.,2017-02-18 21:15:01,29197,68084
John Lewis,This is a dark hour for America.,2017-01-29 01:25:23,29159,60397
Brian Schatz,Sorry for yelling guys. BUT IN THE MIDDLE OF THIS S@#%SHOW THEY ARE STILL TRYING TO TAKE AWAY YOUR HEALTHCARE AND RUIN THE INTERNET.,2017-05-19 19:21:44,29157,54268
Donald J. Trump,The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!,2016-12-12 23:40:48,29105,103745
Donald J. Trump,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you!,2017-01-27 23:46:22,29078,149892
Bernie Sanders,I’m Jewish. My father’s family died in concentration camps. I will do everything I can to rid this country of the ugly stain of racism.,2016-07-30 01:03:28,29033,89046
Donald J. Trump,Not one American flag on the massive stage at the Democratic National Convention until people started complaining-then a small one. Pathetic,2016-07-27 13:01:03,29032,81950
Bernie Sanders,No rational person really believes marijuana should be a Schedule 1 drug next to killer drugs like heroin. And yet that’s how it’s treated.,2017-02-24 17:55:00,28977,71901
Donald J. Trump,VOTE TODAY! Go to to find your polling location. We are going to Make America Great Again! #VoteTrump #ElectionDay,2016-11-08 16:39:36,28975,66720
Donald J. Trump,I worked hard with Bill Ford to keep the Lincoln plant in Kentucky. I owed it to the great State of Kentucky for their confidence in me!,2016-11-18 02:15:28,28912,116617
Donald J. Trump,"Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!",2017-02-25 22:02:22,28908,131250
Donald J. Trump,"The @nytimes states today that DJT believes ""more countries should acquire nuclear weapons."" How dishonest are they. I never said this!",2016-11-13 16:03:21,28896,92313
Donald J. Trump,"Wow, @CNN Town Hall questions were given to Crooked Hillary Clinton in advance of big debates against Bernie Sanders. Hillary &amp; CNN FRAUD!",2016-10-11 23:04:25,28884,59712
Donald J. Trump,"Horrific incident in FL. Praying for all the victims &amp; their families. When will this stop? When will we get tough, smart &amp; vigilant?",2016-06-12 15:45:19,28814,77167
Nancy Pelosi,.@realDonaldTrump doesn't know difference between official mtg photographed by press &amp; closed secret mtg his AG lied about under oath.,2017-03-03 21:28:42,28789,65499
Donald J. Trump,"I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",2017-01-11 12:44:05,28732,115679
John Lewis,He gave his life for us.,2017-01-16 14:46:09,28701,74230
Donald J. Trump,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,2017-02-05 20:42:33,28634,147749
Maxine Waters,Trump is no longer just a bully. He is now very dangerous and still has no business being President of the United States.,2017-04-13 23:11:08,28621,61895
Donald J. Trump,DON'T LET HER FOOL US AGAIN.,2016-10-11 18:43:35,28577,51120
Donald J. Trump,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",2017-02-11 23:00:21,28568,208374
Donald J. Trump,"Wow, @CNN got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!",2016-10-10 19:31:04,28494,68936
Bernie Sanders,97% of scientists agree climate change is real and that it’s caused by human activity. Denying science is no longer an option. #climatefacts,2017-01-26 17:56:01,28391,64722
Donald J. Trump,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",2017-04-13 13:08:20,28360,113951
Donald J. Trump,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp; destruction!,2017-02-04 13:06:39,28327,140418
Donald J. Trump,"Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50,000 new jobs....",2016-12-06 19:09:49,28269,87903
Donald J. Trump,"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",2017-01-26 13:55:03,28233,116209
Donald J. Trump,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,2017-02-05 00:48:12,28224,130218
Donald J. Trump,"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",2017-01-26 11:04:24,28173,129110
Donald J. Trump,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,2017-01-12 04:01:38,28171,118139
Donald J. Trump,My thoughts and prayers are with the great people of Tennessee during these terrible wildfires. Stay safe!,2016-11-29 20:08:12,28082,105919
Donald J. Trump,Crooked Hillary colluded w/FBI and DOJ and media is covering up to protect her. It's a #RiggedSystem! Our country deserves better!,2016-10-17 21:03:16,28065,54385
Donald J. Trump,It is so pathetic that the Dems have still not approved my full Cabinet.,2017-03-03 12:19:12,27975,137466
Bernie Sanders,"We are fighting a terrorist organization, a barbaric organization that is killing innocent people. We are not fighting a religion.",2016-03-22 20:03:03,27972,35691
Donald J. Trump,"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",2017-06-05 13:49:56,27961,89388
Donald J. Trump,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,2017-01-31 00:45:50,27961,127932
Sen. Al Franken,I voted no on a GOP resolution to begin gutting #ACA last night bc this is the replacement plan the Republicans have presented to Americans:,2017-01-12 18:15:17,27942,51309
Donald J. Trump,"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",2017-01-19 12:52:22,27902,125681
Bernie Sanders,Election Day should be a national holiday so that everyone has the time and opportunity to vote.,2016-11-08 01:51:58,27899,70348
Donald J. Trump,"I am not just running against Crooked Hillary Clinton, I am running against the very dishonest and totally biased media - but I will win!",2016-08-07 01:53:45,27759,85413
Adam Schiff,"BREAKING: Chairman just cancelled open Intelligence Committee hearing with Clapper, Brennan and Yates in attempt to choke off public info.",2017-03-24 15:16:08,27706,30312
Donald J. Trump,This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,2017-02-15 12:08:12,27654,118496
Donald J. Trump,"Just tried watching Saturday Night Live - unwatchable! Totally biased, not funny and the Baldwin impersonation just can't get any worse. Sad",2016-12-04 05:13:58,27608,114057
Donald J. Trump,Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!,2017-04-03 11:21:11,27541,108921
Donald J. Trump,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",2017-04-08 14:54:24,27516,135873
Donald J. Trump,THANK YOU!,2017-03-01 13:38:44,27510,185002
Donald J. Trump,Prayers and condolences to all of the families who are so thoroughly devastated by the horrors we are all watching take place in our country,2016-07-08 11:02:41,27495,81704
Rep. Ruben J. Kihuen,".@POTUS I was once undocumented – now, I’m a member of Congress. #NoBanNoWall",2017-01-25 20:25:38,27493,68767
Bernie Sanders,We will not go silently into the night. We must stop the Dakota Access Pipeline and defend the rights of water protectors at Standing Rock.,2016-11-21 15:39:06,27393,56181
Bernie Sanders,"Friday: 50,000 gallons of oil leak on aboriginal land. Tuesday: Trump signs an order to advance two more pipelines.",2017-01-24 22:12:43,27348,26727
Donald J. Trump,Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,2016-11-23 00:24:46,27337,131191
Donald J. Trump,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,2017-02-08 15:51:01,27319,143103
Donald J. Trump,Very organized process taking place as I decide on Cabinet and many other positions. I am the only one who knows who the finalists are!,2016-11-16 02:55:34,27232,118291
Donald J. Trump,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,2017-02-04 03:07:47,27166,155340
Donald J. Trump,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",2017-02-16 14:39:52,27070,121756
Donald J. Trump,What has happened in Orlando is just the beginning. Our leadership is weak and ineffective. I called it and asked for the ban. Must be tough,2016-06-12 20:47:36,27023,70936
Donald J. Trump,#CrookedHillary #ThrowbackThursday,2016-08-18 20:55:33,26976,45532
Donald J. Trump,"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDay🇺🇸",2017-05-29 12:11:59,26962,106349
Donald J. Trump,I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development:,2016-12-05 13:53:11,26909,106116
Elizabeth Warren,And we need Attorney General Jeff Sessions – who should have never been confirmed in the first place – to resign. We need it now.,2017-03-02 04:31:46,26892,65370
Donald J. Trump,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,2017-01-23 11:38:16,26868,178592
Donald J. Trump,.@HillaryClinton is NOT above the law! #Debates2016,2016-10-10 01:37:50,26777,48567
Lloyd Doggett,"Steve Bannon should have no place on Nat’l Sec Council or in WH. I will co-sponsor HR 804. RT if you agree. If not, RT why.",2017-02-11 22:04:35,26776,20172
Donald J. Trump,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,2016-11-22 17:10:47,26761,138834
Donald J. Trump,"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",2017-06-06 01:20:17,26746,98332
Bernie Sanders,16 of the 17 warmest years on record have occurred since 2001. That’s not an alternative fact. That is the truth. #climatefacts,2017-01-26 17:49:05,26693,49461
Donald J. Trump,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,2017-02-14 14:28:54,26693,111916
Bernie Sanders,Climate change is not a hoax. It’s a threat to this entire planet. Trump better start listening to scientists and not fossil fuel companies.,2016-11-14 20:07:01,26626,56550
Donald J. Trump,#WheresHillary? Sleeping!!!!!,2016-08-20 00:17:09,26609,59425
Donald J. Trump,"Why isn't the House Intelligence Committee looking into the Bill &amp; Hillary deal that allowed big Uranium to go to Russia, Russian speech....",2017-03-28 01:26:04,26575,89603
Bernie Sanders,What President Trump did today by withdrawing from the Paris Climate Accord is an international disgrace.,2017-06-01 20:41:10,26523,60886
Elizabeth Warren,"Tell us, @GOP: Who, exactly, thinks that the problem with Washington is that we have too many rules requiring the gov to act ethically?",2017-01-03 03:06:02,26522,49599
Donald J. Trump,FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!,2017-02-25 03:09:18,26499,109344
Donald J. Trump,Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!,2017-02-17 11:43:10,26467,151542
Donald J. Trump,North Korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the U.S. It won't happen!,2017-01-02 23:05:44,26426,92279
Donald J. Trump,My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants &amp; Sweden.,2017-02-19 21:57:01,26362,112824
Donald J. Trump,"Appreciate the congrats for being right on radical Islamic terrorism, I don't want congrats, I want toughness &amp; vigilance. We must be smart!",2016-06-12 16:43:17,26351,71363
Donald J. Trump,"Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs, human trafficking etc.",2017-04-25 12:36:28,26338,100468
Donald J. Trump,Hillary Clinton conceded the election when she called me just prior to the victory speech and after the results were in. Nothing will change,2016-11-27 12:19:31,26337,95774
Donald J. Trump,Will be working all weekend in choosing the great men and women who will be helping to MAKE AMERICA GREAT AGAIN!,2016-11-18 22:35:27,26250,120437
Donald J. Trump,"Thank you, @Samsung! We would love to have you!",2017-02-02 17:29:16,26249,126220
Donald J. Trump,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",2017-01-25 12:10:01,26239,130591
Donald J. Trump,The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow!,2016-08-02 10:24:03,26188,49622
Donald J. Trump,"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!",2017-02-21 23:23:13,26180,118826
Bernie Sanders,I won't compromise on racism. I won't compromise on sexism. I won't compromise on homophobia. And I won't compromise on Islamophobia.,2016-11-17 20:58:17,26151,65053
Donald J. Trump,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",2017-03-07 14:14:03,26130,122618
Adam Schiff,.@POTUS: Obama wiretapped me! FBI: Nope. NSA: Nope. DOJ: Nope. Brits: Nope. @POTUS: I feel partially vindicated!,2017-03-23 15:33:37,26119,52698
Donald J. Trump,I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,2017-01-06 16:51:37,26118,92998
Senator Tim Kaine,"I wanted to be first at my polling place, but 99-year-old Minerva Turpin beat me to it. Looks like I need to get used to being number two!",2016-11-08 13:18:56,26090,100120
Donald J. Trump,"After decades of lies and scandal, Crooked Hillary's corruption is closing in. #DrainTheSwamp!",2016-11-02 19:09:28,26081,47672
Bernie Sanders,I don't mean to be disrespectful but @realDonaldTrump is a fraud.,2017-02-05 20:13:37,26063,65282
Donald J. Trump,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,2017-01-26 13:51:46,26018,107424
Donald J. Trump,"Does anybody really believe that a reporter, who nobody ever heard of, ""went to his mailbox"" and found my tax returns? @NBCNews FAKE NEWS!",2017-03-15 10:55:30,25996,103242
Donald J. Trump,The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!,2017-02-15 11:40:32,25966,105006
Donald J. Trump,We must not let #CrookedHillary take her CRIMINAL SCHEME into the Oval Office. #DrainTheSwamp,2016-10-28 19:20:22,25920,53831
Donald J. Trump,"Why isn't Hillary 50 points ahead? Maybe it's the email scandal, policies that spread ISIS, or calling millions of Americans deplorables!",2016-09-30 18:24:21,25870,53500
Donald J. Trump,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.,2017-01-24 17:49:17,25800,132499
Donald J. Trump,"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",2017-01-19 13:00:13,25761,150613
Donald J. Trump,Dems have been complaining for months &amp; months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!,2017-05-10 19:23:52,25746,96538
John Lewis,"55 years ago today, I was arrested in the Jackson, MS bus station for using a ""whites-only"" restroom. #goodtrouble",2016-05-24 13:32:18,25684,30459
Donald J. Trump,Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of Uranium?,2017-03-28 22:41:09,25645,87256
Donald J. Trump,Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,2017-02-12 22:19:05,25622,142085
Donald J. Trump,"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration.",2017-06-01 11:05:21,25619,92519
Donald J. Trump,Hillary is the most corrupt person to ever run for the presidency of the United States. #DrainTheSwamp,2016-10-19 00:34:21,25615,51572
Donald J. Trump,Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,2017-05-11 20:34:25,25528,95614
Bernie Sanders,"If you don’t have the guts to face your constituents, then you shouldn’t be in the United States Congress.",2017-02-24 14:28:53,25527,76362
Donald J. Trump,"Wow, just came out on secret tape that Crooked Hillary wants to take in as many Syrians as possible. We cannot let this happen - ISIS!",2016-10-24 12:00:02,25514,53631
Donald J. Trump,Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,2017-02-15 12:42:20,25463,101218
Donald J. Trump,"""If you can't run your own house you certainly can't run the White House"" A statement made by Mrs. Obama about Crooked Hillary Clinton",2016-10-23 12:53:51,25408,58183
Donald J. Trump,"Well, Iran has done it again. Taken two of our people and asking for a fortune for their release. This doesn't happen if I'm president!",2016-10-23 14:04:01,25390,58477
Donald J. Trump,"I have recieved and taken calls from many foreign leaders despite what the failing @nytimes said. Russia, U.K., China, Saudi Arabia, Japan,",2016-11-16 12:17:12,25351,87629
Donald J. Trump,I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,2016-09-27 12:53:42,25347,71442
Donald J. Trump,The spotlight has finally been put on the low-life leakers! They will be caught!,2017-02-16 12:02:59,25310,126755
Donald J. Trump,There is an incredible spirit of optimism sweeping the country right now—we're bringing back the JOBS!,2017-03-06 23:49:53,25296,109204
Kamala Harris,Republicans must put country over party and support a special prosecutor. Retweet if you agree.,2017-05-12 17:54:43,25277,18792
Donald J. Trump,"Melania and I are honored to light up the @WhiteHouse this evening, for #WorldAutismAwarenessDay. Join us &amp; #LIUB.",2017-04-03 00:58:29,25265,113650
Donald J. Trump,"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",2017-01-15 01:58:57,25255,121802
Donald J. Trump,Honor of a lifetime to meet His Holiness Pope Francis. I leave the Vatican more determined than ever to pursue PEACE in our world.,2017-05-24 12:20:07,25213,110762
Donald J. Trump,"The cast and producers of Hamilton, which I hear is highly overrated, should immediately apologize to Mike Pence for their terrible behavior",2016-11-20 11:22:34,25167,103413
